City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Klaksvik,FO,2021-01-12 15:18:16,62.2266,-6.589,35.6,75,90,12.66
95,Vestmannaeyjar,IS,2021-01-12 15:18:16,63.4427,-20.2734,37.4,87,75,35.68
96,Kanchipuram,IN,2021-01-12 15:18:17,12.8333,79.7167,80.6,83,40,5.75
97,Coquimbo,CL,2021-01-12 15:17:20,-29.9533,-71.3436,64.4,68,0,17.27
98,Jacareacanga,BR,2021-01-12 15:18:17,-6.2222,-57.7528,80.6,83,90,2.3
99,Sioux Lookout,CA,2021-01-12 15:18:17,50.1001,-91.917,23.0,93,90,9.22
100,Ribeira Grande,PT,2021-01-12 15:18:17,38.5167,-28.7,60.8,94,90,23.02
101,Vangaindrano,MG,2021-01-12 15:18:18,-23.35,47.6,80.51,76,0,6.08
102,Lukovetskiy,RU,2021-01-12 15:18:18,64.2956,41.9211,-14.8,76,0,4.47
103,Chokurdakh,RU,2021-01-12 15:18:18,70.6333,147.9167,-38.29,82,1,0.92
104,Stepnogorsk,KZ,2021-01-12 15:18:18,52.3544,71.8869,-3.91,92,100,17.52
105,Hilo,US,2021-01-12 15:18:18,19.7297,-155.09,69.8,68,90,5.75
106,Hithadhoo,MV,2021-01-12 15:18:18,-0.6,73.0833,82.02,78,88,18.68
107,Husavik,IS,2021-01-12 15:18:19,66.0449,-17.3389,8.6,92,0,5.75
108,Tumen,CN,2021-01-12 15:18:19,42.9661,129.8425,15.13,84,100,1.88
109,Victor Harbor,AU,2021-01-12 15:18:19,-35.5667,138.6167,63.0,94,75,1.99
110,Mandal,IN,2021-01-12 15:18:19,25.45,74.5667,59.99,30,0,4.5
111,Sacramento,US,2021-01-12 15:15:09,38.4666,-121.3177,45.0,93,1,1.16
112,Monte Patria,CL,2021-01-12 15:18:19,-30.6919,-70.9467,83.44,18,0,8.08
113,Mabaruma,GY,2021-01-12 15:18:19,8.2,-59.7833,81.64,73,35,7.61
114,Pevek,RU,2021-01-12 15:18:20,69.7008,170.3133,-33.77,85,29,1.52
115,Kourou,GF,2021-01-12 15:18:20,5.1552,-52.6478,77.0,100,75,9.22
116,Banjar,ID,2021-01-12 15:18:20,-8.19,114.9675,82.4,89,75,5.75
117,Tuatapere,NZ,2021-01-12 15:18:20,-46.1333,167.6833,55.99,86,54,1.01
118,Steamboat Springs,US,2021-01-12 15:14:21,40.485,-106.8317,15.8,85,1,2.82
119,Saint George,US,2021-01-12 15:18:20,37.1041,-113.5841,24.8,50,1,4.61
120,Pisco,PE,2021-01-12 15:18:20,-13.7,-76.2167,73.4,73,0,6.91
121,Kerekegyhaza,HU,2021-01-12 15:18:21,46.9372,19.4781,35.01,74,0,4.61
122,Samarai,PG,2021-01-12 15:18:21,-10.6167,150.6667,83.08,81,100,11.9
123,Atambua,ID,2021-01-12 15:18:21,-9.1061,124.8925,76.6,87,100,5.14
124,Dikson,RU,2021-01-12 15:18:21,73.5069,80.5464,8.8,96,100,10.76
125,Kahului,US,2021-01-12 15:18:21,20.8947,-156.47,70.0,82,75,4.61
126,Airai,TL,2021-01-12 15:18:21,-8.9266,125.4092,62.56,100,95,2.06
127,Ormara,PK,2021-01-12 15:18:22,25.2088,64.6357,70.81,34,42,6.24
128,Umuahia,NG,2021-01-12 15:18:22,5.5263,7.4896,97.0,25,1,3.89
129,Bluff,NZ,2021-01-12 15:18:22,-46.6,168.3333,55.99,86,55,1.01
130,Thinadhoo,MV,2021-01-12 15:18:22,0.5333,72.9333,82.02,78,100,18.01
131,Bredasdorp,ZA,2021-01-12 15:18:22,-34.5322,20.0403,69.8,83,100,16.11
132,Villa Juarez,MX,2021-01-12 15:18:23,24.6536,-107.5411,51.8,76,1,4.61
133,Sa Kaeo,TH,2021-01-12 15:18:23,13.75,102.3333,64.85,43,25,9.33
134,Elliot Lake,CA,2021-01-12 15:18:23,46.3834,-82.6331,32.0,100,90,3.44
135,Saskylakh,RU,2021-01-12 15:18:23,71.9167,114.0833,-26.84,84,100,2.55
136,Clyde River,CA,2021-01-12 15:18:23,70.4692,-68.5914,-7.6,84,90,2.93
137,Maragogi,BR,2021-01-12 15:18:24,-9.0122,-35.2225,84.43,62,68,11.72
138,Muros,ES,2021-01-12 15:18:24,42.7762,-9.0603,53.01,63,0,4.21
139,Goure,NE,2021-01-12 15:18:24,13.9835,10.2704,88.0,8,0,10.0
140,Faanui,PF,2021-01-12 15:18:24,-16.4833,-151.75,81.01,77,100,21.14
141,Bethel,US,2021-01-12 15:18:11,41.3712,-73.414,34.0,74,1,2.89
142,Sorland,NO,2021-01-12 15:18:24,67.667,12.6934,35.6,60,40,32.21
143,Port Elizabeth,ZA,2021-01-12 15:17:46,-33.918,25.5701,71.6,88,90,13.8
144,Bilma,NE,2021-01-12 15:18:25,18.6853,12.9164,86.43,12,0,6.46
145,Bonfim,BR,2021-01-12 15:18:25,3.0833,-59.95,85.78,54,17,10.78
146,Guerrero Negro,MX,2021-01-12 15:18:25,27.9769,-114.0611,50.9,46,0,2.53
147,Fairbanks,US,2021-01-12 15:18:25,64.8378,-147.7164,1.4,85,75,2.39
148,Phonhong,LA,2021-01-12 15:18:26,18.5007,102.4166,56.34,52,0,3.0
149,Butwal,NP,2021-01-12 15:13:31,27.7006,83.4484,55.33,71,46,2.71
150,Xiamen,CN,2021-01-12 15:18:26,24.4798,118.0819,42.8,61,0,4.47
151,Umm Lajj,SA,2021-01-12 15:18:26,25.0213,37.2685,77.67,42,0,8.03
152,Kuito,AO,2021-01-12 15:18:26,-12.3833,16.9333,77.0,50,40,5.75
153,Kapaa,US,2021-01-12 15:18:26,22.0752,-159.319,66.2,94,20,8.05
154,Nyandoma,RU,2021-01-12 15:18:27,61.669,40.1991,-15.81,89,21,6.85
155,Nisia Floresta,BR,2021-01-12 15:18:27,-6.0911,-35.2086,80.6,78,75,9.22
156,Hobyo,SO,2021-01-12 15:18:27,5.3505,48.5268,76.77,72,0,20.92
157,Victoria,HK,2021-01-12 15:16:36,22.2855,114.1577,55.0,37,28,8.28
158,Sinnamary,GF,2021-01-12 15:18:27,5.3833,-52.95,80.26,82,33,12.66
159,Sao Joao Da Barra,BR,2021-01-12 15:18:27,-21.6403,-41.0511,87.8,51,20,16.11
160,Linhares,BR,2021-01-12 15:15:52,-19.3911,-40.0722,89.62,48,27,4.18
161,Tasiilaq,GL,2021-01-12 15:18:28,65.6145,-37.6368,33.8,69,90,26.46
162,Praia Da Vitoria,PT,2021-01-12 15:15:18,38.7333,-27.0667,62.6,88,75,28.68
163,Severodvinsk,RU,2021-01-12 15:18:28,64.5635,39.8302,-14.8,76,0,4.47
164,Asau,RO,2021-01-12 15:18:29,46.4333,26.4,32.0,100,75,6.91
165,Carnarvon,AU,2021-01-12 15:18:29,-24.8667,113.6333,78.8,78,5,23.02
166,Port-Cartier,CA,2021-01-12 15:18:29,50.0334,-66.8654,17.6,67,83,6.91
167,Alofi,NU,2021-01-12 15:18:30,-19.0595,-169.9187,75.2,100,51,4.61
168,Terra Santa,BR,2021-01-12 15:18:30,-2.1042,-56.4869,83.8,75,26,3.65
169,Sarangani,PH,2021-01-12 15:18:30,5.4033,125.4636,82.8,73,94,4.59
170,Takoradi,GH,2021-01-12 15:18:30,4.8845,-1.7554,84.18,70,24,11.36
171,Eureka,US,2021-01-12 15:17:11,40.8021,-124.1637,57.0,88,100,8.99
172,Khashtarak,AM,2021-01-12 15:18:30,40.9366,45.1818,44.2,66,67,2.26
173,Pangnirtung,CA,2021-01-12 15:18:31,66.1451,-65.7125,3.2,85,90,2.3
174,Tolaga Bay,NZ,2021-01-12 15:18:31,-38.3667,178.3,61.83,88,58,1.14
175,Strezhevoy,RU,2021-01-12 15:18:31,60.7333,77.5889,-11.2,84,90,4.47
176,Aksum,ET,2021-01-12 15:18:31,14.1245,38.7244,66.47,26,33,7.76
177,Crestview,US,2021-01-12 15:14:51,30.7621,-86.5705,42.8,81,90,6.91
178,Tibacuy,CO,2021-01-12 15:18:32,4.3511,-72.4564,85.98,50,72,17.09
179,Fortuna,US,2021-01-12 15:18:32,40.5982,-124.1573,57.0,82,75,25.32
180,Saldanha,ZA,2021-01-12 15:18:32,-33.0117,17.9442,77.0,50,37,9.22
181,Isla Mujeres,MX,2021-01-12 15:18:32,21.2311,-86.731,77.0,83,75,9.22
