City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
109,Tebingtinggi,3.3285,99.1625,77.0,94,75,2.3,ID,mist
110,Lavrentiya,65.5833,-171.0,-12.05,83,100,11.48,RU,overcast clouds
111,Vila Velha,-20.3297,-40.2925,78.8,78,20,8.05,BR,light rain
112,Bar Harbor,44.3876,-68.2039,36.0,74,90,8.7,US,overcast clouds
113,Manado,1.487,124.8455,84.2,79,20,3.44,ID,few clouds
114,Yeppoon,-23.1333,150.7333,84.2,54,20,13.8,AU,few clouds
115,Vilhena,-12.7406,-60.1458,72.07,88,51,2.24,BR,broken clouds
116,Berezovyy,51.6667,135.7,-12.95,78,15,0.87,RU,few clouds
117,Igarka,67.4667,86.5833,-8.81,90,95,5.37,RU,overcast clouds
118,Chifeng,42.2683,118.9636,6.93,87,100,9.84,CN,overcast clouds
119,Ushtobe,45.2514,77.9838,21.92,73,0,3.53,KZ,clear sky
120,Quatre Cocos,-20.2078,57.7625,79.0,94,40,13.8,MU,moderate rain
121,Bayir,37.2687,28.2167,62.6,63,0,11.5,TR,clear sky
122,Constitucion,-35.3333,-72.4167,55.08,69,0,16.71,CL,clear sky
123,Nixa,37.0434,-93.2944,32.0,82,0,5.12,US,clear sky
124,Longyearbyen,78.2186,15.6401,15.8,79,40,4.61,SJ,scattered clouds
125,Hualmay,-11.0964,-77.6139,69.96,83,60,7.58,PE,broken clouds
126,Caravelas,-17.7125,-39.2481,75.56,89,0,5.82,BR,clear sky
127,Smidovich,48.6,133.8167,0.86,92,92,2.8,RU,overcast clouds
128,Poltavka,54.3663,71.7632,-8.28,91,100,19.86,RU,light snow
129,Aswan,24.0934,32.907,62.17,58,0,9.24,EG,clear sky
130,Sulangan,11.1373,123.7228,79.88,83,100,25.77,PH,moderate rain
131,East London,-33.0153,27.9116,72.79,90,92,7.23,ZA,overcast clouds
132,Hambantota,6.1241,81.1185,75.2,100,75,2.3,LK,light rain
133,Mehamn,71.0357,27.8492,16.39,91,20,15.75,NO,few clouds
134,Puerto Vallarta,20.6204,-105.2307,69.8,83,1,4.61,MX,clear sky
135,Haines Junction,60.7522,-137.5108,15.8,92,100,2.3,CA,overcast clouds
136,Kismayo,-0.3582,42.5454,76.73,80,0,17.07,SO,clear sky
137,Butaritari,3.0707,172.7902,80.82,81,100,22.3,KI,light rain
138,Esfahan,32.6572,51.6776,15.8,62,0,6.91,IR,clear sky
139,Port Moresby,-9.4431,147.1797,87.8,66,20,5.75,PG,few clouds
140,Hithadhoo,-0.6,73.0833,81.0,78,82,17.56,MV,broken clouds
141,Xixiang,35.1628,112.865,33.85,57,0,4.56,CN,clear sky
142,Poya,-21.35,165.15,85.5,71,100,3.76,NC,light rain
143,Hovd,48.0056,91.6419,15.55,72,38,6.02,MN,scattered clouds
144,Tiksi,71.6872,128.8694,-36.22,82,78,7.83,RU,broken clouds
145,Banjarmasin,-3.3244,114.591,73.4,100,90,3.44,ID,moderate rain
146,Harboore,56.6175,8.1807,35.01,95,0,21.72,DK,clear sky
147,Sao Joao Da Barra,-21.6403,-41.0511,76.66,88,16,15.01,BR,few clouds
148,Port Lincoln,-34.7333,135.8667,64.62,59,41,11.95,AU,scattered clouds
149,Port Elizabeth,-33.918,25.5701,66.2,100,90,10.36,ZA,light rain
150,Placetas,22.3119,-79.6533,73.4,88,75,5.75,CU,heavy intensity rain
151,Thompson,55.7435,-97.8558,23.0,93,90,9.22,CA,overcast clouds
152,Placido De Castro,-10.3353,-67.1856,80.62,71,11,2.48,BR,few clouds
153,Antequera,37.0194,-4.5612,46.0,87,20,12.66,ES,few clouds
154,Pocatello,42.8713,-112.4455,28.4,59,1,9.22,US,clear sky
155,Thabazimbi,-24.5917,27.4116,71.01,73,64,6.11,ZA,broken clouds
156,Maba,24.6841,113.5984,39.88,63,9,1.97,CN,clear sky
